Noise Type,Average PSNR,Average SSIM,Average VIF,Average Processing Time per Frame
Gaussian,39.3,0.9965,0.1441,0.0018
Gaussian,39.33,0.9966,0.1435,0.0019
Gaussian,39.22,0.9939,0.1527,0.0018
Gaussian,39.43,0.9961,0.1429,0.0018
Gaussian,39.54,0.9973,0.1307,0.0018
Gaussian,39.56,0.9974,0.1391,0.0018
Gaussian,39.49,0.9972,0.1387,0.0018
Gaussian,39.08,0.9962,0.1398,0.0018
Gaussian,39.16,0.9949,0.1381,0.0018
Gaussian,39.09,0.9952,0.1555,0.0018
Gaussian,38.92,0.9958,0.1488,0.0018
Gaussian,39.32,0.9967,0.1402,0.0018
Gaussian,39.42,0.9965,0.1366,0.0018
Gaussian,39.17,0.9944,0.1498,0.0018
Gaussian,39.56,0.9961,0.1423,0.0018
Gaussian,39.42,0.9965,0.1362,0.0018
Gaussian,39.33,0.997,0.1424,0.0018
Gaussian,39.53,0.9973,0.1387,0.0018
Gaussian,39.0,0.9941,0.1545,0.0018
Gaussian,39.08,0.9962,0.1397,0.0018
Gaussian,39.33,0.997,0.143,0.0018
Gaussian,39.17,0.9944,0.1509,0.0018
Gaussian,39.5,0.9975,0.1363,0.0018
Gaussian,39.08,0.9952,0.1559,0.0019
Gaussian,39.43,0.9966,0.1459,0.0018
Gaussian,39.55,0.9961,0.1423,0.0019
Gaussian,39.03,0.9959,0.1652,0.0018
Gaussian,39.43,0.9963,0.1436,0.0018
Gaussian,39.53,0.9975,0.1359,0.0018
Gaussian,39.01,0.9941,0.154,0.0018
Gaussian,39.32,0.9969,0.1425,0.0018
Gaussian,39.45,0.9943,0.1448,0.0018
Gaussian,38.97,0.9957,0.167,0.0018
Gaussian,39.46,0.9965,0.1463,0.0018
Gaussian,39.32,0.9965,0.1434,0.0018
Gaussian,39.51,0.9975,0.1359,0.0018
Gaussian,39.15,0.9948,0.1386,0.0018
Gaussian,39.31,0.9965,0.1439,0.0018
Gaussian,39.32,0.9965,0.1435,0.0018
Gaussian,39.11,0.9953,0.155,0.0017
Gaussian,39.42,0.9972,0.1349,0.0018
Gaussian,38.99,0.9961,0.1467,0.0018
Gaussian,39.45,0.9943,0.1452,0.0018
Gaussian,39.0,0.9934,0.1503,0.0018
Gaussian,39.6,0.9971,0.1365,0.0018
Gaussian,39.28,0.9954,0.151,0.0018
Gaussian,39.43,0.9966,0.1458,0.0018
Gaussian,39.0,0.9958,0.166,0.0018
Gaussian,39.52,0.9975,0.1359,0.0018
Gaussian,39.51,0.9973,0.1385,0.0019
Gaussian,39.41,0.9962,0.1439,0.0018
Gaussian,38.99,0.9933,0.151,0.0019
Gaussian,39.13,0.9931,0.1592,0.0018
Gaussian,39.56,0.9961,0.1422,0.0018
Gaussian,39.08,0.9962,0.1397,0.0018
Gaussian,39.14,0.9937,0.1549,0.0018
Gaussian,39.49,0.9968,0.1445,0.0018
Gaussian,39.48,0.9973,0.1341,0.0018
Gaussian,39.11,0.9962,0.1391,0.0018
Gaussian,39.41,0.9965,0.146,0.0018
Gaussian,39.0,0.9934,0.151,0.0018
Gaussian,39.41,0.9962,0.1434,0.0018
Gaussian,39.18,0.9947,0.1382,0.0018
Gaussian,39.55,0.9961,0.1423,0.0018
Gaussian,39.52,0.9975,0.1355,0.0018
Gaussian,38.99,0.9957,0.1669,0.0018
Gaussian,39.29,0.9954,0.1507,0.002
Gaussian,38.97,0.9932,0.1514,0.0018
Gaussian,39.13,0.9931,0.1591,0.0018
Gaussian,39.59,0.9971,0.1369,0.0018
Gaussian,39.3,0.9968,0.1399,0.0019
Gaussian,39.25,0.9953,0.1513,0.0019
Gaussian,38.99,0.9933,0.1511,0.0018
Gaussian,39.03,0.9959,0.1651,0.0018
Gaussian,39.45,0.9943,0.1451,0.0018
Gaussian,39.43,0.9963,0.1434,0.0018
Gaussian,39.6,0.9971,0.1367,0.0018
Gaussian,38.99,0.9962,0.1465,0.0018
Gaussian,39.42,0.9972,0.1344,0.0018
Gaussian,39.03,0.9943,0.1535,0.0018
Gaussian,39.43,0.9943,0.1455,0.0021
Gaussian,39.32,0.9965,0.1437,0.0021
Gaussian,39.41,0.9966,0.1358,0.0018
Gaussian,39.26,0.9953,0.1516,0.0022
Gaussian,39.27,0.9954,0.1512,0.0027
Gaussian,39.29,0.9953,0.151,0.0018
Gaussian,39.21,0.9953,0.1445,0.0018
Gaussian,39.43,0.9972,0.1367,0.0018
Gaussian,39.6,0.9971,0.1369,0.0018
Gaussian,39.53,0.9975,0.1355,0.0018
Gaussian,39.2,0.9953,0.1448,0.0019
Gaussian,39.43,0.9943,0.1452,0.0019
Gaussian,39.44,0.9964,0.1359,0.0018
Gaussian,39.18,0.9945,0.1493,0.0018
Gaussian,39.36,0.9967,0.1403,0.0018
Gaussian,39.39,0.9961,0.1443,0.0018
Gaussian,39.22,0.9953,0.144,0.0018
Gaussian,39.08,0.9944,0.1525,0.0018
Gaussian,39.17,0.9944,0.1506,0.0018
Gaussian,39.33,0.997,0.1424,0.0018
Gaussian,39.0,0.9941,0.1541,0.0018
Gaussian,39.18,0.9945,0.1501,0.0018
Gaussian,39.3,0.9954,0.1505,0.0018
Gaussian,39.32,0.9966,0.1435,0.0018
Gaussian,39.6,0.9974,0.1384,0.0018
Gaussian,39.32,0.997,0.142,0.0019
Gaussian,39.53,0.9973,0.1391,0.0019
Gaussian,39.18,0.9945,0.1503,0.0018
Gaussian,39.4,0.9964,0.1371,0.0019
Gaussian,38.99,0.9933,0.1511,0.0019
Gaussian,38.98,0.9957,0.1669,0.0019
Gaussian,39.57,0.9961,0.1423,0.0018
Gaussian,39.44,0.9974,0.1347,0.0018
Gaussian,39.44,0.9943,0.1453,0.0018
Gaussian,39.48,0.9972,0.1382,0.0019
Gaussian,39.33,0.997,0.1431,0.0018
Gaussian,39.0,0.9933,0.1507,0.0018
Gaussian,39.11,0.9954,0.1551,0.0018
Gaussian,39.43,0.9971,0.135,0.0018
Gaussian,39.56,0.9961,0.1422,0.0019
Gaussian,39.13,0.9931,0.1588,0.0018
Gaussian,39.55,0.9961,0.1423,0.0019
Gaussian,39.44,0.9942,0.1458,0.0018
Gaussian,39.51,0.9975,0.1361,0.0018
Gaussian,39.59,0.9971,0.1367,0.0018
Gaussian,39.46,0.9967,0.1452,0.0018
Gaussian,39.03,0.9941,0.1537,0.0018
Gaussian,39.33,0.997,0.1428,0.0018
Gaussian,39.21,0.9939,0.1532,0.0018
Gaussian,39.58,0.9971,0.1369,0.0018
Gaussian,39.53,0.9973,0.1305,0.0019
Gaussian,39.32,0.9968,0.1396,0.0018
Gaussian,39.23,0.9938,0.153,0.0018
Gaussian,39.39,0.9967,0.1348,0.0018
Gaussian,39.41,0.9966,0.1352,0.0018
Gaussian,38.93,0.9959,0.1482,0.0018
Gaussian,39.14,0.994,0.1508,0.0018
Gaussian,39.14,0.9942,0.1469,0.0018
Gaussian,39.46,0.9941,0.1495,0.0018
Gaussian,39.38,0.9955,0.1531,0.0018
Gaussian,38.58,0.9925,0.1636,0.0018
Gaussian,39.38,0.9957,0.1442,0.0018
Gaussian,39.35,0.9956,0.1474,0.0019
Gaussian,39.33,0.994,0.1465,0.0019
Gaussian,39.29,0.9942,0.1488,0.0018
Gaussian,38.94,0.9954,0.1499,0.0018
Gaussian,39.36,0.994,0.1489,0.0018
Gaussian,39.35,0.9941,0.146,0.0018
Gaussian,39.29,0.996,0.1516,0.0018
Gaussian,39.07,0.994,0.1503,0.0018
Gaussian,38.97,0.9955,0.1481,0.0018
Gaussian,39.25,0.9949,0.1584,0.0023
Gaussian,39.14,0.9946,0.1589,0.0018
Gaussian,39.69,0.9943,0.1455,0.0018
Gaussian,39.17,0.9945,0.1597,0.0018
Gaussian,39.18,0.9948,0.16,0.0018
Gaussian,39.12,0.9944,0.1603,0.0018
Gaussian,39.39,0.9962,0.145,0.0018
Gaussian,39.17,0.9943,0.1454,0.0018
Gaussian,39.19,0.9938,0.152,0.0018
Gaussian,39.3,0.9957,0.1448,0.0018
Gaussian,38.42,0.9921,0.1683,0.0018
Gaussian,39.47,0.994,0.1501,0.0018
Gaussian,38.65,0.9919,0.1621,0.0018
Gaussian,39.12,0.9941,0.1481,0.0018
Gaussian,38.52,0.9925,0.1638,0.0018
Gaussian,39.32,0.9943,0.1452,0.0018
Gaussian,39.12,0.9938,0.153,0.0018
Gaussian,39.14,0.9946,0.1446,0.0018
Gaussian,39.6,0.9945,0.1453,0.0018
Gaussian,39.04,0.9936,0.1568,0.0018
Gaussian,39.0,0.994,0.1542,0.0018
Gaussian,39.14,0.9946,0.1446,0.0019
Gaussian,39.03,0.9938,0.1541,0.0018
Gaussian,39.12,0.9941,0.1474,0.002
Gaussian,38.63,0.992,0.1612,0.0021
Gaussian,38.97,0.993,0.157,0.0018
Gaussian,39.19,0.9946,0.158,0.0018
Gaussian,39.06,0.9944,0.1475,0.0018
Gaussian,39.17,0.9939,0.1621,0.0018
Gaussian,39.14,0.9942,0.1464,0.0018
Gaussian,39.35,0.9941,0.1488,0.0018
Gaussian,38.48,0.9924,0.1645,0.0018
Gaussian,39.15,0.9945,0.1583,0.0018
Gaussian,39.23,0.9939,0.1514,0.0018
Gaussian,39.06,0.9941,0.1502,0.002
Gaussian,38.68,0.9919,0.1625,0.0018
Gaussian,38.47,0.9924,0.165,0.0018
Gaussian,39.07,0.9944,0.1472,0.0018
Gaussian,39.37,0.9961,0.1507,0.0018
Gaussian,39.08,0.9945,0.1464,0.0018
Gaussian,39.42,0.9943,0.1514,0.0018
Gaussian,39.4,0.9964,0.149,0.0018
Gaussian,39.4,0.9937,0.1529,0.0018
Gaussian,38.91,0.9939,0.1565,0.0018
Gaussian,39.14,0.9946,0.1587,0.0019
Gaussian,39.26,0.9953,0.154,0.0018
Gaussian,38.98,0.9939,0.1569,0.0018
Gaussian,39.34,0.9943,0.1459,0.0018
Gaussian,38.79,0.9934,0.1681,0.0018
Gaussian,38.81,0.9929,0.1694,0.0018
Gaussian,39.12,0.9942,0.1478,0.0018
Gaussian,39.12,0.9944,0.1457,0.0018
Gaussian,39.3,0.9952,0.1485,0.0018
Gaussian,38.92,0.995,0.157,0.0018
Gaussian,38.9,0.9934,0.1671,0.0018
Gaussian,39.2,0.994,0.1509,0.0018
Gaussian,39.33,0.9942,0.1476,0.0018
Gaussian,38.88,0.9928,0.1622,0.0018
Gaussian,39.47,0.994,0.1486,0.0018
Gaussian,39.02,0.9938,0.1536,0.0018
Gaussian,39.36,0.9939,0.1527,0.0019
Gaussian,39.29,0.9959,0.143,0.0018
Gaussian,38.98,0.9939,0.1558,0.0018
Gaussian,39.01,0.9931,0.1548,0.0018
Gaussian,38.7,0.9921,0.171,0.0018
Gaussian,39.6,0.9944,0.1454,0.0018
Gaussian,39.03,0.9936,0.157,0.0018
Gaussian,39.37,0.9961,0.1504,0.0018
Gaussian,39.23,0.9953,0.1485,0.0018
Gaussian,38.87,0.9929,0.1587,0.0018
Gaussian,39.21,0.9941,0.1491,0.0018
Gaussian,39.55,0.9944,0.146,0.0018
Gaussian,38.49,0.9922,0.1655,0.0018
Gaussian,38.97,0.9935,0.155,0.0018
Gaussian,39.41,0.996,0.1429,0.0018
Gaussian,39.1,0.9942,0.1461,0.0018
Gaussian,38.8,0.9933,0.1683,0.0018
Gaussian,39.18,0.9951,0.1592,0.0018
Gaussian,39.37,0.9962,0.1451,0.0018
Gaussian,39.4,0.9938,0.1527,0.0018
Gaussian,39.36,0.9959,0.1464,0.0018
Gaussian,38.95,0.9932,0.1564,0.0018
Gaussian,39.09,0.9942,0.1509,0.0019
Gaussian,39.46,0.9967,0.1499,0.0018
Gaussian,39.37,0.9938,0.1523,0.0018
Gaussian,39.32,0.9957,0.1438,0.0019
Gaussian,39.08,0.9941,0.1517,0.0018
Gaussian,39.1,0.994,0.1469,0.0018
Gaussian,38.96,0.9953,0.1507,0.0018
Gaussian,39.15,0.994,0.152,0.0018
Gaussian,39.51,0.994,0.1493,0.0018
Gaussian,39.47,0.994,0.1489,0.0018
Gaussian,39.19,0.995,0.1586,0.0018
Gaussian,39.22,0.9946,0.1579,0.0018
Gaussian,39.11,0.994,0.1507,0.0018
Gaussian,39.2,0.9953,0.1494,0.0018
Gaussian,39.15,0.9952,0.1564,0.0018
Gaussian,39.51,0.9947,0.1521,0.0018
Gaussian,38.64,0.992,0.1614,0.0019
Gaussian,39.6,0.9944,0.1456,0.0018
Gaussian,38.93,0.9955,0.1481,0.0018
Gaussian,39.59,0.9944,0.1458,0.0018
Gaussian,39.07,0.993,0.1639,0.0018
Gaussian,38.63,0.9919,0.1627,0.0018
Gaussian,39.52,0.9947,0.1528,0.0018
Gaussian,39.34,0.996,0.1463,0.0018
Gaussian,38.55,0.9925,0.1633,0.0018
Gaussian,39.46,0.9958,0.1518,0.0018
Gaussian,38.92,0.9926,0.164,0.0018
Gaussian,39.13,0.9941,0.148,0.0019
Gaussian,39.23,0.9948,0.1562,0.0018
Gaussian,39.06,0.9945,0.1478,0.0018
Gaussian,39.32,0.9943,0.1457,0.0018
Gaussian,38.97,0.9953,0.1502,0.0018
Gaussian,39.47,0.9941,0.1483,0.0019
Gaussian,39.36,0.994,0.1485,0.0018
Gaussian,39.37,0.9942,0.1461,0.0018
Gaussian,39.32,0.9944,0.1457,0.0021
Gaussian,38.83,0.9933,0.1576,0.0018
Gaussian,39.21,0.9949,0.1593,0.0019
Gaussian,39.03,0.9938,0.1547,0.0018
Gaussian,39.58,0.9947,0.1499,0.0019
Gaussian,39.11,0.9943,0.146,0.0019
Gaussian,39.16,0.9937,0.1515,0.0018
Gaussian,39.31,0.996,0.1511,0.0018
Gaussian,39.39,0.9952,0.154,0.0018
Gaussian,39.37,0.9938,0.1526,0.0018
Gaussian,39.5,0.9944,0.1468,0.0018
Gaussian,39.53,0.9946,0.1527,0.0018
Gaussian,39.22,0.995,0.1572,0.0018
Gaussian,39.25,0.9971,0.1419,0.0019
Gaussian,39.35,0.9959,0.1431,0.0018
Gaussian,39.17,0.9969,0.1418,0.0018
Gaussian,39.58,0.996,0.1458,0.0019
Gaussian,39.38,0.9966,0.1486,0.0019
Gaussian,39.24,0.9971,0.1435,0.0018
Gaussian,39.12,0.9956,0.1487,0.0018
Gaussian,39.28,0.9956,0.1445,0.0018
Gaussian,39.53,0.9957,0.1475,0.0018
Gaussian,39.17,0.9963,0.1484,0.0019
Gaussian,39.27,0.9965,0.147,0.0018
Gaussian,39.37,0.9967,0.1447,0.0018
Gaussian,39.03,0.9957,0.1468,0.0018
Gaussian,39.49,0.9972,0.1433,0.002
Gaussian,39.43,0.9966,0.1422,0.0018
Gaussian,39.38,0.996,0.1426,0.0019
Gaussian,39.46,0.9968,0.1481,0.0018
Gaussian,39.42,0.9961,0.1428,0.0018
Gaussian,39.31,0.9965,0.1437,0.0018
Gaussian,39.19,0.9957,0.1495,0.0018
Gaussian,39.1,0.9947,0.1491,0.0018
Gaussian,39.28,0.9939,0.1467,0.0018
Gaussian,39.24,0.9965,0.1432,0.0018
Gaussian,39.17,0.9958,0.1443,0.0018
Gaussian,39.33,0.9968,0.1447,0.0019
Gaussian,39.23,0.9956,0.1525,0.0019
Gaussian,39.36,0.9971,0.1437,0.0018
Gaussian,39.27,0.9941,0.1435,0.0018
Gaussian,39.3,0.994,0.1446,0.0018
Gaussian,39.42,0.9968,0.1449,0.0018
Gaussian,39.2,0.9956,0.1525,0.0018
Gaussian,39.37,0.9965,0.1502,0.0018
Gaussian,39.17,0.9958,0.1466,0.0018
Gaussian,39.13,0.996,0.1486,0.0018
Gaussian,39.33,0.9964,0.1511,0.0018
Gaussian,39.44,0.9971,0.1436,0.0018
Gaussian,39.09,0.9956,0.1514,0.0019
Gaussian,39.43,0.9971,0.1451,0.0018
Gaussian,39.32,0.9965,0.1423,0.0018
Gaussian,39.32,0.9955,0.1441,0.0019
Gaussian,39.28,0.9966,0.1477,0.0018
Gaussian,39.23,0.9964,0.1456,0.0018
Gaussian,39.16,0.9958,0.1469,0.0019
Gaussian,38.93,0.9951,0.1523,0.0018
Gaussian,39.5,0.9967,0.1403,0.0018
Gaussian,38.64,0.9945,0.1605,0.0018
Gaussian,39.31,0.9963,0.1419,0.0018
Gaussian,39.32,0.9963,0.1485,0.0018
Gaussian,39.19,0.9959,0.1486,0.0019
Gaussian,39.13,0.9958,0.1477,0.0019
Gaussian,39.43,0.9966,0.1425,0.0019
Gaussian,39.31,0.9971,0.1425,0.0018
Gaussian,39.46,0.9969,0.1423,0.0019
Gaussian,39.17,0.9961,0.1475,0.0018
Gaussian,39.31,0.9957,0.1442,0.0018
Gaussian,39.35,0.9968,0.1446,0.0019
Gaussian,38.89,0.9946,0.1514,0.0018
Gaussian,39.3,0.9943,0.1447,0.0019
Gaussian,38.8,0.9948,0.1512,0.0019
Gaussian,39.13,0.9956,0.1452,0.0019
Gaussian,39.26,0.9941,0.1448,0.0018
Gaussian,39.21,0.9966,0.1475,0.0018
Gaussian,39.28,0.9944,0.1415,0.0018
Gaussian,39.11,0.9958,0.1491,0.0019
Gaussian,39.19,0.9951,0.1446,0.0019
Gaussian,39.27,0.9961,0.1504,0.0018
Gaussian,39.37,0.997,0.1432,0.0018
Gaussian,39.04,0.9957,0.1486,0.0019
Gaussian,39.11,0.9948,0.1585,0.0018
Gaussian,39.27,0.9966,0.1444,0.0018
Gaussian,39.18,0.9965,0.1464,0.0018
Gaussian,39.22,0.9971,0.138,0.0018
Gaussian,39.49,0.996,0.1385,0.0019
Gaussian,39.51,0.9972,0.142,0.0018
Gaussian,39.54,0.997,0.1426,0.0018
Gaussian,39.47,0.9967,0.1404,0.0018
Gaussian,39.29,0.9954,0.1532,0.0018
Gaussian,39.21,0.997,0.1404,0.0018
Gaussian,39.27,0.9972,0.1395,0.0019
Gaussian,39.17,0.9954,0.153,0.0019
Gaussian,39.35,0.9967,0.1448,0.0018
Gaussian,39.33,0.9959,0.1502,0.0018
Gaussian,39.21,0.9956,0.1514,0.0018
Gaussian,39.27,0.9942,0.1452,0.0019
Gaussian,38.94,0.9953,0.1502,0.0018
Gaussian,39.64,0.9962,0.1454,0.0019
Gaussian,39.38,0.9961,0.1416,0.002
Gaussian,39.43,0.9966,0.1423,0.0018
Gaussian,39.19,0.9957,0.1507,0.002
Gaussian,39.13,0.9967,0.1423,0.0019
Gaussian,39.3,0.9971,0.1441,0.0019
Gaussian,39.12,0.9949,0.1455,0.0019
Gaussian,39.37,0.996,0.143,0.0018
Gaussian,39.62,0.996,0.1469,0.0018
Gaussian,39.15,0.9962,0.148,0.0018
Gaussian,39.33,0.9963,0.1499,0.0018
Gaussian,39.35,0.9965,0.15,0.0019
Gaussian,38.95,0.9955,0.1514,0.0019
Gaussian,39.22,0.9971,0.1395,0.0018
Gaussian,39.34,0.9967,0.1464,0.0018
Gaussian,38.98,0.9953,0.1459,0.0019
Gaussian,39.15,0.9958,0.1466,0.0018
Gaussian,38.99,0.9957,0.1487,0.0019
Gaussian,39.03,0.9949,0.1476,0.0018
Gaussian,39.36,0.9965,0.1405,0.0018
Gaussian,39.16,0.9963,0.1483,0.0019
Gaussian,38.98,0.9954,0.1488,0.0018
Gaussian,38.87,0.9947,0.1491,0.0018
Gaussian,39.38,0.997,0.1445,0.0019
Gaussian,39.23,0.9965,0.1433,0.0018
Gaussian,39.34,0.9965,0.1425,0.002
Gaussian,39.34,0.9964,0.1479,0.0018
Gaussian,39.21,0.9956,0.1498,0.0018
Gaussian,39.1,0.9967,0.1417,0.0018
Gaussian,38.75,0.9949,0.1587,0.002
Gaussian,39.04,0.9956,0.1477,0.0018
Gaussian,39.13,0.9958,0.1466,0.0018
Gaussian,39.38,0.9967,0.1463,0.0018
Gaussian,39.39,0.9966,0.1433,0.0019
Gaussian,39.24,0.9953,0.1562,0.0019
Gaussian,39.29,0.9964,0.1477,0.0018
Gaussian,39.03,0.9952,0.1494,0.0018
Gaussian,39.26,0.9966,0.1484,0.0018
Gaussian,39.4,0.9968,0.143,0.0018
Gaussian,39.27,0.9965,0.152,0.0018
Gaussian,39.31,0.9955,0.146,0.0018
Gaussian,39.4,0.9969,0.1446,0.0018
Gaussian,39.66,0.9967,0.1443,0.0018
Gaussian,39.79,0.9976,0.1458,0.0019
Gaussian,38.97,0.9951,0.1504,0.0018
Gaussian,39.42,0.9966,0.1426,0.0019
Gaussian,39.42,0.9968,0.1486,0.0018
Gaussian,39.35,0.9965,0.1447,0.0018
Gaussian,39.38,0.9974,0.1386,0.0018
Gaussian,39.02,0.9948,0.149,0.0018
Gaussian,39.25,0.9961,0.1477,0.0018
Gaussian,39.07,0.9958,0.1491,0.0018
Gaussian,39.35,0.997,0.1468,0.0018
Gaussian,39.42,0.9966,0.1425,0.0019
Gaussian,39.38,0.9964,0.1459,0.0018
Gaussian,39.33,0.9959,0.1434,0.0018
Gaussian,39.4,0.997,0.1446,0.0019
Gaussian,39.4,0.9968,0.1452,0.0019
Gaussian,38.96,0.9958,0.1542,0.0018
Gaussian,39.49,0.9972,0.1421,0.0018
Gaussian,39.58,0.9972,0.142,0.0018
Gaussian,39.24,0.9958,0.1487,0.0019
Gaussian,39.2,0.9968,0.1448,0.0018
Gaussian,39.02,0.9956,0.1436,0.0018
Gaussian,39.25,0.9963,0.1426,0.0018
Gaussian,39.08,0.9953,0.146,0.0018
Gaussian,39.28,0.996,0.1447,0.0018
Gaussian,39.36,0.997,0.1453,0.0018
Gaussian,39.13,0.9953,0.1479,0.0019
Gaussian,39.01,0.9955,0.1492,0.0019
Gaussian,39.08,0.9958,0.1464,0.0019
Gaussian,39.32,0.9967,0.1459,0.0018
Gaussian,39.28,0.9956,0.1452,0.0019
Gaussian,39.79,0.9973,0.1472,0.0018
Gaussian,38.51,0.9923,0.1726,0.0018
Gaussian,39.23,0.9943,0.1584,0.0018
Gaussian,38.36,0.9916,0.1817,0.0018
Gaussian,38.42,0.9941,0.1813,0.0018
Gaussian,39.17,0.996,0.147,0.0018
Gaussian,38.43,0.9942,0.1807,0.0018
Gaussian,38.32,0.9899,0.1943,0.0018
Gaussian,38.11,0.9905,0.1946,0.0018
Gaussian,39.25,0.9962,0.1509,0.0019
Gaussian,39.08,0.9962,0.1494,0.0019
Gaussian,38.82,0.9928,0.1613,0.0018
Gaussian,38.58,0.9909,0.1728,0.0019
Gaussian,38.8,0.9945,0.1577,0.0019
Gaussian,38.96,0.9948,0.153,0.0019
Gaussian,39.34,0.9954,0.1554,0.0019
Gaussian,38.59,0.9909,0.1726,0.0018
Gaussian,38.94,0.9937,0.1704,0.0018
Gaussian,38.6,0.991,0.1718,0.0018
Gaussian,39.0,0.9954,0.1546,0.0018
Gaussian,38.19,0.9906,0.1873,0.0019
Gaussian,39.06,0.9951,0.1607,0.0019
Gaussian,38.24,0.9917,0.1999,0.0018
Gaussian,38.58,0.9939,0.177,0.0018
Gaussian,38.27,0.9913,0.187,0.0019
Gaussian,39.76,0.9973,0.1478,0.0018
Gaussian,38.91,0.9952,0.162,0.0018
Gaussian,38.97,0.9952,0.159,0.0018
Gaussian,38.67,0.9929,0.1697,0.0019
Gaussian,39.29,0.9949,0.1573,0.0018
Gaussian,38.62,0.9926,0.178,0.0018
Gaussian,39.01,0.9955,0.1551,0.0018
Gaussian,38.76,0.9943,0.1731,0.0018
Gaussian,38.95,0.9936,0.1697,0.0018
Gaussian,38.18,0.9907,0.1869,0.0018
Gaussian,39.06,0.995,0.1519,0.0018
Gaussian,38.77,0.9943,0.1728,0.0019
Gaussian,39.07,0.9955,0.1655,0.0018
Gaussian,38.88,0.9934,0.155,0.0019
Gaussian,38.28,0.9924,0.1921,0.0018
Gaussian,38.68,0.9938,0.1694,0.0018
Gaussian,38.28,0.9917,0.1862,0.0018
Gaussian,39.24,0.9943,0.1581,0.0019
Gaussian,38.93,0.9947,0.1536,0.0019
Gaussian,38.44,0.9923,0.1814,0.0018
Gaussian,38.27,0.9908,0.1891,0.0018
Gaussian,39.04,0.9953,0.1589,0.0019
Gaussian,38.17,0.9903,0.1954,0.0019
Gaussian,39.04,0.9953,0.1665,0.0018
Gaussian,38.98,0.995,0.16,0.0018
Gaussian,38.92,0.9951,0.1689,0.0018
Gaussian,39.24,0.9963,0.1503,0.0018
Gaussian,38.27,0.9913,0.1867,0.0018
Gaussian,39.77,0.9973,0.1452,0.0019
Gaussian,38.17,0.9903,0.1959,0.0018
Gaussian,38.47,0.9922,0.1755,0.0018
Gaussian,39.24,0.9943,0.1582,0.0018
Gaussian,38.75,0.9942,0.1697,0.0018
Gaussian,38.65,0.9947,0.1741,0.0019
Gaussian,38.6,0.9909,0.1727,0.0019
Gaussian,38.6,0.991,0.172,0.0019
Gaussian,38.59,0.9929,0.1805,0.0018
Gaussian,38.17,0.9914,0.1988,0.0019
Gaussian,38.95,0.9949,0.1524,0.0018
Gaussian,38.67,0.9941,0.1719,0.0018
Gaussian,38.58,0.9939,0.1766,0.0019
Gaussian,38.7,0.994,0.1632,0.0018
Gaussian,39.01,0.995,0.1602,0.0019
Gaussian,39.79,0.9973,0.1468,0.0018
Gaussian,38.58,0.9938,0.178,0.0019
Gaussian,38.22,0.9903,0.187,0.002
Gaussian,38.12,0.9905,0.1886,0.0019
Gaussian,39.07,0.995,0.1519,0.0018
Gaussian,38.66,0.9947,0.1744,0.0018
Gaussian,39.24,0.9964,0.1504,0.0018
Gaussian,39.0,0.9942,0.1552,0.0018
Gaussian,38.75,0.9927,0.1624,0.0018
Gaussian,38.22,0.9903,0.1893,0.0018
Gaussian,38.55,0.9938,0.1778,0.0018
Gaussian,39.06,0.995,0.1519,0.0018
Gaussian,39.23,0.9943,0.1583,0.002
Gaussian,38.68,0.9928,0.1697,0.0018
Gaussian,38.22,0.9903,0.1885,0.0018
Gaussian,38.41,0.9942,0.1812,0.0018
Gaussian,39.01,0.9953,0.1676,0.0018
Gaussian,38.4,0.9942,0.181,0.0018
Gaussian,38.89,0.9935,0.1543,0.0018
Gaussian,38.22,0.9904,0.1882,0.0018
Gaussian,38.42,0.9921,0.1823,0.0018
Gaussian,39.17,0.996,0.1473,0.0018
Gaussian,38.59,0.993,0.1676,0.0018
Gaussian,38.22,0.9919,0.1933,0.0022
Gaussian,39.04,0.9944,0.1619,0.002
Gaussian,38.17,0.9906,0.1876,0.0019
Gaussian,39.08,0.9962,0.15,0.0018
Gaussian,38.68,0.9938,0.1696,0.0018
Gaussian,38.35,0.9915,0.1822,0.0018
Gaussian,39.35,0.9955,0.1554,0.0017
Gaussian,38.33,0.9915,0.1839,0.0018
Gaussian,38.59,0.9939,0.1767,0.0018
Gaussian,38.62,0.991,0.1714,0.0018
Gaussian,39.07,0.9951,0.1518,0.0018
Gaussian,38.74,0.9943,0.1674,0.0019
Gaussian,38.59,0.991,0.1721,0.0019
Gaussian,38.81,0.9945,0.1637,0.0018
Gaussian,39.24,0.9934,0.1522,0.0018
Gaussian,39.36,0.9945,0.1449,0.0018
Gaussian,38.94,0.9952,0.1543,0.0018
Gaussian,38.78,0.9922,0.1583,0.002
Gaussian,39.45,0.9939,0.1501,0.0018
Gaussian,39.14,0.9938,0.1524,0.0018
Gaussian,39.51,0.9941,0.1451,0.0018
Gaussian,38.85,0.9925,0.1665,0.0018
Gaussian,39.3,0.9943,0.1456,0.0019
Gaussian,39.38,0.9944,0.1434,0.0018
Gaussian,38.87,0.9937,0.1501,0.0019
Gaussian,38.38,0.9915,0.1637,0.0018
Gaussian,39.01,0.9929,0.1628,0.0018
Gaussian,38.57,0.9919,0.1596,0.0019
Gaussian,38.8,0.9925,0.1579,0.0018
Gaussian,39.26,0.9941,0.1482,0.0018
Gaussian,39.14,0.9941,0.1481,0.0018
Gaussian,39.09,0.9942,0.146,0.0018
Gaussian,39.13,0.9942,0.1473,0.0018
